"loc","variant","date.start","date.end","v.mean","v.median","iqr.lwr","iqr.upr","ci95.lwr","ci95.upr"
"Gauteng","first 2 waves",2020-03-15,2021-05-09,54.8641896920634,53.8602901938444,45.3344172240694,63.5302349016295,32.9578964530673,81.9976894699291
"KwaZulu-Natal","first 2 waves",2020-03-15,2021-05-09,50.6091514429195,49.1621157749695,40.5302396848222,59.278828034804,28.3731152342415,80.8015393896622
"Western Cape","first 2 waves",2020-03-15,2021-05-09,65.7653811247605,64.0967069268654,55.5284360077261,74.149464634411,42.3471921565138,98.8071629301233
"Eastern Cape","first 2 waves",2020-03-15,2021-04-25,60.7934859919374,59.6892100543084,49.5600376417537,70.9152088959748,34.8573675135968,93.122905540013
"Limpopo","first 2 waves",2020-03-15,2021-05-09,31.0448333870098,28.861610137807,22.2309373945221,37.6552266942424,14.9821591502225,58.8601486912745
"Mpumalanga","first 2 waves",2020-03-15,2021-05-09,36.5105250618929,34.4510933157748,27.1571892620629,43.7052433001372,18.8240789530286,65.3324639382586
"North West","first 2 waves",2020-03-15,2021-05-09,40.8728227401549,38.9997690920166,31.7626408131956,48.0516452148534,22.3878296340738,69.5605993774102
"Free State","first 2 waves",2020-03-15,2021-05-30,64.0099203602785,62.5905826216706,53.0195716257926,73.3822625658586,38.7206155180055,96.9636273965347
"Northern Cape","first 2 waves",2020-03-15,2021-05-09,62.5317366361762,61.1474655520358,51.7740075775677,71.7668962854801,38.3098061315673,94.3343903967887
