"loc","month","measure","date.start","date.end","v.mean","v.median","iqr.lwr","iqr.upr","ci95.lwr","ci95.upr","month2"
"Eastern Cape","2021/1",62.8723603885604,2020-03-15,2021-01-17,59.2269906771792,58.1600922310216,47.9254374385823,69.4285037086909,33.1651388685418,91.4161355228503,"2021 Jan"
"Free State","2021/1",45.6031670362923,2020-03-15,2021-01-17,47.551321472812,45.9786164850117,37.1740094080274,56.2986562418956,25.2774212404183,78.1671844564511,"2021 Jan"
"Free State","2021/3",36.0606048044437,2020-03-15,2021-03-14,51.8381466767458,50.2978486252445,41.2450908076063,60.7526066722117,28.6785778399617,83.1981727405694,"2021 Mar"
"Gauteng","2020/11",27.1379362350315,2020-03-15,2020-11-15,33.301172315663,31.6540677112548,24.3647251036936,40.9173378310428,15.8477330098817,57.9317394679543,"2020 Nov"
"Gauteng","2020/11",23.0521521430941,2020-03-15,2020-11-15,33.301172315663,31.6540677112548,24.3647251036936,40.9173378310428,15.8477330098817,57.9317394679543,"2020 Nov"
"Gauteng","2020/11",16.1429332689852,2020-03-15,2020-11-15,33.301172315663,31.6540677112548,24.3647251036936,40.9173378310428,15.8477330098817,57.9317394679543,"2020 Nov"
"Gauteng","2020/11",18.4280155642023,2020-03-15,2020-11-15,33.301172315663,31.6540677112548,24.3647251036936,40.9173378310428,15.8477330098817,57.9317394679543,"2020 Nov"
"Gauteng","2020/11",15.0548065031822,2020-03-15,2020-11-15,33.301172315663,31.6540677112548,24.3647251036936,40.9173378310428,15.8477330098817,57.9317394679543,"2020 Nov"
"Gauteng","2020/11",19.2252888124754,2020-03-15,2020-11-15,33.301172315663,31.6540677112548,24.3647251036936,40.9173378310428,15.8477330098817,57.9317394679543,"2020 Nov"
"Gauteng","2020/12",19.0748750741511,2020-03-15,2020-12-13,35.8078137608657,34.2956695430098,27.0287606220308,43.390606443315,18.0521338453645,60.1426448987773,"2020 Dec"
"Gauteng","2020/12",19.8697352677988,2020-03-15,2020-12-13,35.8078137608657,34.2956695430098,27.0287606220308,43.390606443315,18.0521338453645,60.1426448987773,"2020 Dec"
"Gauteng","2020/12",18.6117294563589,2020-03-15,2020-12-13,35.8078137608657,34.2956695430098,27.0287606220308,43.390606443315,18.0521338453645,60.1426448987773,"2020 Dec"
"Gauteng","2020/12",30.0885389959681,2020-03-15,2020-12-13,35.8078137608657,34.2956695430098,27.0287606220308,43.390606443315,18.0521338453645,60.1426448987773,"2020 Dec"
"Gauteng","2021/1",15.0908414522567,2020-03-15,2021-01-17,48.4421398118544,47.3781877102221,39.1400511737034,56.8394320974186,27.6062541043623,74.1089716301324,"2021 Jan"
"Gauteng","2021/1",19.1833820971455,2020-03-15,2021-01-17,48.4421398118544,47.3781877102221,39.1400511737034,56.8394320974186,27.6062541043623,74.1089716301324,"2021 Jan"
"Gauteng","2021/1",30.1910938175529,2020-03-15,2021-01-17,48.4421398118544,47.3781877102221,39.1400511737034,56.8394320974186,27.6062541043623,74.1089716301324,"2021 Jan"
"Gauteng","2021/1",50.0008244603304,2020-03-15,2021-01-17,48.4421398118544,47.3781877102221,39.1400511737034,56.8394320974186,27.6062541043623,74.1089716301324,"2021 Jan"
"Gauteng","2021/4",33.1624488482691,2020-03-15,2021-04-18,53.1763824916976,52.1711332807472,43.630284790861,61.8743855931397,31.3456951750875,80.2383107974577,"2021 Apr"
"Gauteng","2021/4",23.1829397037975,2020-03-15,2021-04-18,53.1763824916976,52.1711332807472,43.630284790861,61.8743855931397,31.3456951750875,80.2383107974577,"2021 Apr"
"Gauteng","2021/5",43.0924903729175,2020-03-15,2021-05-16,56.1028963305682,55.1042406076549,46.6029721198729,64.8008419322166,34.0170248249353,83.2772369435551,"2021 May"
"Gauteng","2021/5",43.9665791934365,2020-03-15,2021-05-16,56.1028963305682,55.1042406076549,46.6029721198729,64.8008419322166,34.0170248249353,83.2772369435551,"2021 May"
"Gauteng","2021/6",63.7271639570074,2020-03-15,2021-06-13,69.2277763474783,68.4778036728394,59.1874960180976,78.3652886542033,44.5887743614102,98.654811738848,"2021 Jun"
"Gauteng","2021/6",40.152907228104,2020-03-15,2021-06-13,69.2277763474783,68.4778036728394,59.1874960180976,78.3652886542033,44.5887743614102,98.654811738848,"2021 Jun"
"Gauteng","2021/6",33.0794397691511,2020-03-15,2021-06-13,69.2277763474783,68.4778036728394,59.1874960180976,78.3652886542033,44.5887743614102,98.654811738848,"2021 Jun"
"KwaZulu-Natal","2020/11",14.1135732267483,2020-03-15,2020-11-15,25.5470106800416,23.0652930717741,16.7311968361629,32.2080131166506,10.5140791947776,52.974471026911,"2020 Nov"
"KwaZulu-Natal","2020/12",23.1749372809538,2020-03-15,2020-12-13,29.7886662977095,27.6120065135504,21.1343081314279,36.5053299013081,13.8423873828177,56.8723440161311,"2020 Dec"
"KwaZulu-Natal","2021/1",39.4245916566658,2020-03-15,2021-01-17,46.2815769632714,44.8018731200133,36.3704414229514,54.7183260070284,24.9588221229409,75.6332178438475,"2021 Jan"
"KwaZulu-Natal","2021/1",52.3845108203926,2020-03-15,2021-01-17,46.2815769632714,44.8018731200133,36.3704414229514,54.7183260070284,24.9588221229409,75.6332178438475,"2021 Jan"
"KwaZulu-Natal","2021/2",48.3931329701684,2020-03-15,2021-02-14,49.0638474956562,47.6280310366134,38.8761488472399,57.7997897094365,26.8268037414737,79.3507621953664,"2021 Feb"
"KwaZulu-Natal","2021/3",55.3683884426133,2020-03-15,2021-03-14,49.8092008525476,48.3642313695385,39.649748233026,58.4926226046302,27.5305141470474,80.1303649128187,"2021 Mar"
